 format: day,hour,forecast,value  location:59_126 Start : 20231119 
 -971917344,1400,+19,0.000000 
 -971917344,1400,+20,0.000000 
 -971917344,1400,+21,0.000000 
 -971917344,1400,+22,0.000000 
 -971917344,1400,+23,0.000000 
 -971917344,1400,+24,0.000000 
 -971917344,1400,+25,0.000000 
 -971917344,1400,+26,0.000000 
 -971917344,1400,+27,0.000000 
 -971917344,1400,+28,0.000000 
 -971917344,1400,+29,0.000000 
 -971917344,1400,+30,0.000000 
 -971917344,1400,+31,0.000000 
 -971917344,1400,+32,0.000000 
 -971917344,1400,+33,0.000000 
 -971917344,1400,+34,0.000000 
 -971917344,1400,+35,0.000000 
 -971917344,1400,+36,0.000000 
 -971917344,1400,+37,0.000000 
 -971917344,1400,+38,0.000000 
 -971917344,1400,+39,0.000000 
 -971917344,1400,+40,0.000000 
 -971917344,1400,+41,0.000000 
 -971917344,1400,+42,0.000000 
 -971917344,1400,+43,0.000000 
 -971917344,1400,+44,0.000000 
 -971917344,1400,+45,0.000000 
 -971917344,1400,+46,0.000000 
 -971917344,1400,+47,0.000000 
 -971917344,1400,+48,0.000000 
 -971917344,1400,+49,0.000000 
 -971917344,1400,+50,0.000000 
 -971917344,1400,+51,0.000000 
 -971917344,1400,+52,0.000000 
 -971917344,1400,+53,0.000000 
 -971917344,1400,+54,0.000000 
 -971917344,1400,+55,0.000000 
 -971917344,1400,+56,0.000000 
 -971917344,1400,+57,0.000000 
 -971917344,1400,+58,0.000000 
 -971917344,1400,+59,0.000000 
 -971917344,1400,+60,0.000000 
 -971917344,1400,+61,0.000000 
 -971917344,1400,+62,0.000000 
 -971917344,1400,+63,0.000000 
 -971917344,1400,+64,0.000000 
 -971917344,1400,+65,0.000000 
 -971917344,1400,+66,0.000000 
 -971917344,1400,+67,0.000000 
 -971917344,1400,+68,0.000000 
 -971917344,1400,+69,0.000000 
 -971917344,1400,+70,0.000000 
 -971917344,1400,+71,0.000000 
 -971917344,1400,+72,0.000000 
